Date,Status,NZ,TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN
13-Apr-20,Confirmed,798,1243,798,19,0,2,2,0,0,0,0,356,0,56,1,0,25,5,15,3,2,0,52,352,0,1,0,0,1,0,6,93,0,98,61,0,75,0,18,0
13-Apr-20,Recovered,546,112,546,0,0,0,2,0,0,0,0,3,0,10,7,0,10,0,6,19,1,0,10,12,0,0,0,0,6,0,2,0,0,8,0,0,4,2,10,0
13-Apr-20,Deceased,5,27,5,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14-Apr-20,Confirmed,729,1031,729,45,0,1,0,0,2,0,0,51,0,78,2,1,8,3,13,8,0,0,127,346,0,0,0,0,5,0,8,108,0,31,52,0,102,2,38,0
14-Apr-20,Recovered,628,167,628,4,0,0,1,0,3,0,0,0,0,5,4,1,14,0,11,13,0,0,13,30,0,0,0,0,0,0,2,26,0,23,7,0,1,2,7,0
14-Apr-20,Deceased,9,37,9,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,3,18,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0,0
15-Apr-20,Confirmed,649,886,649,41,0,0,6,0,0,0,0,17,0,116,6,2,22,1,19,1,1,0,197,236,0,6,0,0,0,0,2,71,0,38,6,0,75,0,23,0
15-Apr-20,Recovered,728,144,728,4,1,2,0,2,4,0,0,10,1,5,2,0,6,0,9,7,0,0,0,36,0,0,0,0,1,0,0,0,0,37,8,1,7,0,1,0
15-Apr-20,Deceased,9,27,9,3,0,0,0,0,0,0,0,2,0,5,0,0,0,0,2,0,0,0,0,9,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0
16-Apr-20,Confirmed,622,1061,622,9,0,2,11,0,3,0,0,62,0,163,11,0,14,1,36,7,0,0,226,285,0,2,0,0,0,0,11,55,0,25,50,0,70,0,18,0
